gameweek,predicted_points,actual_points,transfers_made,points_hit,chip_used,bank
36,68.37653112411499,56.0,1,0,bench_boost,70
37,53.51663517951965,50.0,1,0,triple_captain,105
38,48.500458002090454,62.0,2,1,None,160
