Season,Player Name,GW,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,match_identifier
2021-22,Son Heung-Min,38,2,7,2.437920093536377,90,AMC,Norwich,Tottenham,0,5,2022-05-22,453,2021,0,0.051857899874448776,0,1,2,2.437920093536377,2.9670801162719727,0.5403689742088318,16755
2021-22,Son Heung-Min,37,0,2,0.51910001039505,90,AMC,Tottenham,Burnley,1,0,2022-05-15,453,2021,0,0.18275399506092072,0,4,0,0.51910001039505,1.197759985923767,0.5381640195846558,16739
2021-22,Son Heung-Min,36,1,2,0.6611549854278564,74,AMC,Tottenham,Arsenal,3,0,2022-05-12,453,2021,0,0.26070699095726013,0,3,1,0.6611549854278564,0.9580270051956177,0.6657339930534363,16593
2021-22,Son Heung-Min,36,1,2,0.7055780291557312,90,FWL,Liverpool,Tottenham,1,1,2022-05-07,453,2021,0,0.11058799922466278,0,2,1,0.7055780291557312,0.8161659836769104,0.0,16728
2021-22,Son Heung-Min,35,2,3,0.4581190049648285,83,FWL,Tottenham,Leicester,3,1,2022-05-01,453,2021,0,0.3981490135192871,1,4,2,0.4581190049648285,0.5157430171966553,0.03492239862680435,16719
2021-22,Son Heung-Min,34,0,0,0.0,90,FWL,Brentford,Tottenham,0,0,2022-04-23,453,2021,0,0.12431299686431885,0,2,0,0.0,0.3161830008029938,0.3002449870109558,16714
2021-22,Son Heung-Min,33,0,2,0.1886810064315796,90,FWL,Tottenham,Brighton,0,1,2022-04-16,453,2021,0,0.0,0,0,0,0.1886810064315796,0.1886810064315796,0.0,16699
2021-22,Son Heung-Min,32,3,3,0.5696510076522827,83,FWL,Aston Villa,Tottenham,0,4,2022-04-09,453,2021,0,0.0,0,0,3,0.5696510076522827,0.6434310078620911,0.07377990335226059,16694
2021-22,Son Heung-Min,31,1,4,0.8909019827842712,90,AMC,Tottenham,Newcastle United,5,1,2022-04-03,453,2021,0,0.6390249729156494,1,5,1,0.8909019827842712,1.504770040512085,0.9421730041503906,16678
2021-22,Son Heung-Min,30,2,3,0.9599559903144836,90,AMC,Tottenham,West Ham,3,1,2022-03-20,453,2021,0,0.5117149949073792,0,1,2,0.9599559903144836,2.167180061340332,0.6955119967460632,16673
2021-22,Son Heung-Min,29,0,1,0.07869529724121094,82,AMC,Brighton,Tottenham,0,2,2022-03-16,453,2021,0,0.1858689934015274,0,3,0,0.07869529724121094,0.28060200810432434,0.03567750006914139,16528
2021-22,Son Heung-Min,29,0,2,0.16557900607585907,90,AMC,Manchester United,Tottenham,3,2,2022-03-12,453,2021,0,0.0,0,0,0,0.16557900607585907,0.21291199326515198,0.047332700341939926,16663
2021-22,Son Heung-Min,28,1,2,0.6829000115394592,70,AMC,Tottenham,Everton,5,0,2022-03-07,453,2021,0,0.1816750019788742,0,2,1,0.6829000115394592,1.296239972114563,0.5016800165176392,16653
2021-22,Son Heung-Min,27,1,4,0.8922590017318726,88,AMC,Leeds,Tottenham,0,4,2022-02-26,453,2021,0,0.05874929949641228,0,1,1,0.8922590017318726,1.3983299732208252,0.6070230007171631,16642
2021-22,Son Heung-Min,26,0,0,0.0,90,AMC,Burnley,Tottenham,1,0,2022-02-23,453,2021,0,0.2890399992465973,0,4,0,0.0,0.23363299667835236,0.013278700411319733,16499
2021-22,Son Heung-Min,26,0,1,0.14400699734687805,82,AMC,Manchester City,Tottenham,2,3,2022-02-19,453,2021,0,1.2734099626541138,2,4,0,0.14400699734687805,1.4174200296401978,0.517920970916748,16632
2021-22,Son Heung-Min,25,0,3,0.1940779983997345,90,AMC,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,453,2021,0,0.19685600697994232,0,4,0,0.1940779983997345,0.37066900730133057,0.1645990014076233,16624
2021-22,Son Heung-Min,24,1,1,0.48516198992729187,90,AMC,Tottenham,Southampton,2,3,2022-02-09,453,2021,0,0.0,0,0,1,0.48516198992729187,1.5515899658203125,1.0664299726486206,16613
2021-22,Son Heung-Min,21,0,4,0.6285780072212219,90,FWL,Watford,Tottenham,0,1,2022-01-01,453,2021,0,0.6908419728279114,1,2,0,0.6285780072212219,0.7766799926757812,0.16988499462604523,16585
2021-22,Son Heung-Min,20,0,5,0.36559098958969116,90,AMC,Southampton,Tottenham,1,1,2021-12-28,453,2021,0,0.6899229884147644,0,4,0,0.36559098958969116,0.9720069766044617,0.1295430064201355,16575
2021-22,Son Heung-Min,19,1,2,0.5586559772491455,78,AMC,Tottenham,Crystal Palace,3,0,2021-12-26,453,2021,0,0.0821022018790245,0,2,1,0.5586559772491455,1.013350009918213,0.45468899607658386,16563
2021-22,Son Heung-Min,18,1,2,0.9031739830970764,90,FW,Tottenham,Liverpool,2,2,2021-12-19,453,2021,0,0.552623987197876,0,2,1,0.9031739830970764,2.0411500930786133,0.6729720234870911,16552
2021-22,Son Heung-Min,15,1,3,0.25645801424980164,90,AMC,Tottenham,Norwich,3,0,2021-12-05,453,2021,0,0.3128550052642822,1,4,1,0.25645801424980164,0.6588349938392639,0.2109909951686859,16522
2021-22,Son Heung-Min,14,1,2,0.8397089838981628,89,AMC,Tottenham,Brentford,2,0,2021-12-02,453,2021,0,0.0902751013636589,0,1,1,0.8397089838981628,0.8397089838981628,0.0,16515
2021-22,Son Heung-Min,12,0,2,0.06997880339622498,90,AMC,Tottenham,Leeds,2,1,2021-11-21,453,2021,0,0.0,0,0,0,0.06997880339622498,0.21156999468803406,0.14159099757671356,16493
2021-22,Son Heung-Min,11,0,0,0.0,86,AMC,Everton,Tottenham,0,0,2021-11-07,453,2021,0,0.03109090030193329,0,1,0,0.0,0.37749001383781433,0.3463999927043915,16481
2021-22,Son Heung-Min,10,0,3,0.4221380054950714,90,AML,Tottenham,Manchester United,0,3,2021-10-30,453,2021,0,0.04090389981865883,0,1,0,0.4221380054950714,0.07146699726581573,0.0,16473
2021-22,Son Heung-Min,9,0,1,0.321817010641098,90,AML,West Ham,Tottenham,1,0,2021-10-24,453,2021,0,0.1453009992837906,0,2,0,0.321817010641098,0.5168489813804626,0.049731701612472534,16465
2021-22,Son Heung-Min,8,1,1,0.68299400806427,90,AML,Newcastle United,Tottenham,2,3,2021-10-17,453,2021,0,0.2336210012435913,0,5,1,0.68299400806427,0.8661810159683228,0.06758119910955429,16452
2021-22,Son Heung-Min,7,0,5,0.5454319715499878,90,AML,Tottenham,Aston Villa,2,1,2021-10-03,453,2021,0,0.1239129975438118,1,2,0,0.5454319715499878,1.3061699867248535,0.6917849779129028,16443
2021-22,Son Heung-Min,6,1,2,0.3903290033340454,90,FWL,Arsenal,Tottenham,3,1,2021-09-26,453,2021,0,0.2043599933385849,0,3,1,0.3903290033340454,0.7260079979896545,0.33567899465560913,16434
2021-22,Son Heung-Min,5,0,2,0.43402400612831116,90,FW,Tottenham,Chelsea,0,3,2021-09-19,453,2021,0,0.026732100173830986,0,1,0,0.43402400612831116,0.46075600385665894,0.026732100173830986,16425
2021-22,Son Heung-Min,3,1,3,0.08884689956903458,89,AMR,Tottenham,Watford,1,0,2021-08-29,453,2021,0,0.10338199883699417,0,2,1,0.08884689956903458,0.32620900869369507,0.2815510034561157,16404
2021-22,Son Heung-Min,2,0,2,0.1769919991493225,77,FW,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22,453,2021,0,0.0,0,0,0,0.1769919991493225,0.1769919991493225,0.0,16393
2021-22,Son Heung-Min,1,1,5,0.27371299266815186,90,FW,Tottenham,Manchester City,1,0,2021-08-15,453,2021,0,0.05431929975748062,0,1,1,0.27371299266815186,0.24694600701332092,0.019126299768686295,16385
2021-22,Mohamed Salah,38,1,8,1.167490005493164,27,Sub,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,1250,2021,0,0.0,0,0,1,1.167490005493164,0.5637869834899902,0.08828040212392807,16753
2021-22,Mohamed Salah,36,0,1,0.12754400074481964,15,Sub,Aston Villa,Liverpool,1,2,2022-05-10,1250,2021,0,0.06885790079832077,0,1,0,0.12754400074481964,0.19640199840068817,0.0,16705
2021-22,Mohamed Salah,36,0,3,0.25395599007606506,90,FWR,Liverpool,Tottenham,1,1,2022-05-07,1250,2021,0,0.00995028018951416,0,2,0,0.25395599007606506,0.26390600204467773,0.0,16728
2021-22,Mohamed Salah,35,0,2,0.08411529660224915,19,Sub,Newcastle United,Liverpool,0,1,2022-04-30,1250,2021,0,0.03914149850606918,0,1,0,0.08411529660224915,0.12325700372457504,0.03648709878325462,16721
2021-22,Mohamed Salah,34,0,2,0.14063499867916107,90,FWR,Liverpool,Everton,2,0,2022-04-24,1250,2021,0,0.39861100912094116,1,2,0,0.14063499867916107,0.4834130108356476,0.38454100489616394,16708
2021-22,Mohamed Salah,33,2,4,0.943576991558075,90,FWR,Liverpool,Manchester United,4,0,2022-04-19,1250,2021,0,0.6247460246086121,1,1,2,0.943576991558075,1.5683200359344482,0.9423540234565735,16669
2021-22,Mohamed Salah,32,0,1,0.05994819849729538,90,FWR,Manchester City,Liverpool,2,2,2022-04-10,1250,2021,0,0.7380059957504272,1,3,0,0.05994819849729538,0.7979540228843689,0.0,16690
2021-22,Mohamed Salah,31,0,3,0.11150799691677094,71,FWR,Liverpool,Watford,2,0,2022-04-02,1250,2021,0,0.03913800045847893,0,1,0,0.11150799691677094,0.5789300203323364,0.5523759722709656,16680
2021-22,Mohamed Salah,29,0,3,0.2430640012025833,34,Sub,Arsenal,Liverpool,0,2,2022-03-16,1250,2021,0,0.0,0,0,0,0.2430640012025833,0.21441499888896942,0.0,16636
2021-22,Mohamed Salah,29,1,7,1.3412699699401855,67,FWR,Brighton,Liverpool,0,2,2022-03-12,1250,2021,0,0.156373992562294,0,1,0,0.5800970196723938,0.7316910028457642,0.04144259914755821,16658
2021-22,Mohamed Salah,28,0,6,0.5395330190658569,80,FWR,Liverpool,West Ham,1,0,2022-03-05,1250,2021,0,0.0,0,1,0,0.5395330190658569,0.33442801237106323,0.10989399999380112,16649
2021-22,Mohamed Salah,26,2,6,2.0637600421905518,90,FWR,Liverpool,Leeds,6,0,2022-02-23,1250,2021,0,0.5370190143585205,1,1,0,0.5414270162582397,1.6701699495315552,0.5917230248451233,16559
2021-22,Mohamed Salah,26,1,8,0.9931809902191162,90,FWR,Liverpool,Norwich,3,1,2022-02-19,1250,2021,0,0.6509760022163391,0,6,1,0.9931809902191162,1.4484000205993652,0.757390022277832,16631
2021-22,Mohamed Salah,25,0,1,0.07194569706916809,90,FWR,Burnley,Liverpool,0,1,2022-02-13,1250,2021,0,0.020258300006389618,0,1,0,0.07194569706916809,0.07194569706916809,0.0,16617
2021-22,Mohamed Salah,24,0,4,0.6145930290222168,28,Sub,Liverpool,Leicester,2,0,2022-02-10,1250,2021,0,0.2845950126647949,0,1,0,0.6145930290222168,0.8991879820823669,0.0,16614
2021-22,Mohamed Salah,21,1,4,0.8584129810333252,90,FWR,Chelsea,Liverpool,2,2,2022-01-02,1250,2021,0,0.14001500606536865,0,2,1,0.8584129810333252,0.9745420217514038,0.11613000184297562,16578
2021-22,Mohamed Salah,20,0,5,1.9229799509048462,90,FWR,Leicester,Liverpool,1,0,2021-12-28,1250,2021,0,0.15832200646400452,0,2,0,1.161810040473938,0.19708700478076935,0.0,16573
2021-22,Mohamed Salah,18,0,2,0.09840270131826401,90,FWR,Tottenham,Liverpool,2,2,2021-12-19,1250,2021,0,0.08403769880533218,0,3,0,0.09840270131826401,0.1649329960346222,0.0,16552
2021-22,Mohamed Salah,17,1,4,0.8645060062408447,76,FWR,Liverpool,Newcastle United,3,1,2021-12-16,1250,2021,0,0.12693800032138824,0,1,1,0.8645060062408447,1.0349400043487549,0.07295329868793488,16544
2021-22,Mohamed Salah,16,1,6,1.0233900547027588,90,FWR,Liverpool,Aston Villa,1,0,2021-12-11,1250,2021,0,0.0,0,0,0,0.26222100853919983,0.9665039777755737,0.7042819857597351,16533
2021-22,Mohamed Salah,15,0,2,0.11044099926948547,90,FWR,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,1250,2021,0,0.7075070142745972,1,3,0,0.11044099926948547,0.7081090211868286,0.0653126984834671,16525
2021-22,Mohamed Salah,14,2,5,1.5849000215530396,90,FWR,Everton,Liverpool,1,4,2021-12-01,1250,2021,0,0.0,0,0,2,1.5849000215530396,1.9853099584579468,0.4004020094871521,16507
2021-22,Mohamed Salah,13,0,4,0.2187959998846054,90,FWR,Liverpool,Southampton,4,0,2021-11-27,1250,2021,0,0.8358550071716309,1,2,0,0.2187959998846054,0.37845999002456665,0.1185310035943985,16503
2021-22,Mohamed Salah,12,1,4,1.1190799474716187,90,FWR,Liverpool,Arsenal,4,0,2021-11-20,1250,2021,0,0.5039960145950317,0,2,1,1.1190799474716187,2.595989942550659,0.9729130268096924,16489
2021-22,Mohamed Salah,11,0,2,0.1552480012178421,90,FWR,West Ham,Liverpool,3,2,2021-11-07,1250,2021,0,0.061888400465250015,1,2,0,0.1552480012178421,0.2924160063266754,0.07527949661016464,16485
2021-22,Mohamed Salah,10,0,2,0.15418300032615662,90,FWR,Liverpool,Brighton,2,2,2021-10-30,1250,2021,0,0.464136004447937,1,2,0,0.15418300032615662,0.6691259741783142,0.1026109978556633,16469
2021-22,Mohamed Salah,9,3,7,2.245759963989258,90,FWR,Manchester United,Liverpool,0,5,2021-10-24,1250,2021,0,0.5071889758110046,1,2,3,2.245759963989258,2.8157598972320557,0.26204198598861694,16463
2021-22,Mohamed Salah,8,1,5,0.40201500058174133,90,FWR,Watford,Liverpool,0,5,2021-10-16,1250,2021,0,0.3588489890098572,1,2,1,0.40201500058174133,1.534350037574768,0.8367949724197388,16455
2021-22,Mohamed Salah,7,1,3,0.2433069944381714,90,FWR,Liverpool,Manchester City,2,2,2021-10-03,1250,2021,0,0.6339759826660156,1,2,1,0.2433069944381714,0.49542900919914246,0.33443400263786316,16441
2021-22,Mohamed Salah,6,1,3,1.0699000358581543,90,FWR,Brentford,Liverpool,3,3,2021-09-25,1250,2021,0,0.02698810026049614,0,1,1,1.0699000358581543,1.515179991722107,0.418287992477417,16432
2021-22,Mohamed Salah,5,1,6,0.7508839964866638,90,FWR,Liverpool,Crystal Palace,3,0,2021-09-18,1250,2021,0,0.14978499710559845,0,2,1,0.7508839964866638,0.6342999935150146,0.35814398527145386,16420
2021-22,Mohamed Salah,4,1,3,1.2721699476242065,90,FWR,Leeds,Liverpool,0,3,2021-09-12,1250,2021,0,0.3707349896430969,0,4,1,1.2721699476242065,2.6979498863220215,1.9851000308990479,16414
2021-22,Mohamed Salah,3,1,3,0.9240000247955322,90,FWR,Liverpool,Chelsea,1,1,2021-08-28,1250,2021,0,0.11269400268793106,0,3,0,0.16283099353313446,0.5728210210800171,0.2972959876060486,16402
2021-22,Mohamed Salah,2,0,5,0.35065901279449463,90,FWR,Liverpool,Burnley,2,0,2021-08-21,1250,2021,0,0.11151699721813202,0,2,0,0.35065901279449463,0.9097570180892944,0.49696698784828186,16386
2021-22,Mohamed Salah,1,1,5,0.23913399875164032,90,FWR,Norwich,Liverpool,0,3,2021-08-14,1250,2021,0,0.8687210083007812,2,3,1,0.23913399875164032,1.0696300268173218,0.10001099854707718,16383
2021-22,Cristiano Ronaldo,36,0,5,0.3166700005531311,90,FW,Brighton,Manchester United,4,0,2022-05-07,2371,2021,0,0.0,0,0,0,0.3166700005531311,0.5952230095863342,0.3405829966068268,16733
2021-22,Cristiano Ronaldo,35,1,2,0.8037019968032837,90,FW,Manchester United,Brentford,3,0,2022-05-02,2371,2021,0,0.12496799975633621,0,1,0,0.042533498257398605,0.859408974647522,0.7344419956207275,16722
2021-22,Cristiano Ronaldo,34,1,3,0.4045099914073944,90,FW,Manchester United,Chelsea,1,1,2022-04-28,2371,2021,0,0.0,0,0,1,0.4045099914073944,0.32030999660491943,0.0,16742
2021-22,Cristiano Ronaldo,34,1,3,0.4586620032787323,90,FW,Arsenal,Manchester United,3,1,2022-04-23,2371,2021,0,0.5858309864997864,0,2,1,0.4586620032787323,1.0621099472045898,0.42618098855018616,16715
2021-22,Cristiano Ronaldo,33,3,8,0.8417980074882507,90,FW,Manchester United,Norwich,3,2,2022-04-16,2371,2021,0,0.021375300362706184,0,1,3,0.8417980074882507,0.9665780067443848,0.23659899830818176,16702
2021-22,Cristiano Ronaldo,32,0,2,0.15847699344158173,90,FW,Everton,Manchester United,1,0,2022-04-09,2371,2021,0,0.015993300825357437,0,1,0,0.15847699344158173,0.29398998618125916,0.11952000111341476,16692
2021-22,Cristiano Ronaldo,29,3,8,0.9081299901008606,85,FW,Manchester United,Tottenham,3,2,2022-03-12,2371,2021,0,0.0,0,0,3,0.9081299901008606,0.9579340219497681,0.2409989982843399,16663
2021-22,Cristiano Ronaldo,27,0,4,0.5455080270767212,90,FW,Manchester United,Watford,0,0,2022-02-26,2371,2021,0,0.12453299760818481,0,2,0,0.5455080270767212,1.2165800333023071,0.5465440154075623,16643
2021-22,Cristiano Ronaldo,26,0,2,0.842540979385376,90,FW,Leeds,Manchester United,2,4,2022-02-20,2371,2021,0,0.1268640011548996,0,1,0,0.842540979385376,1.1324800252914429,0.16307799518108368,16630
2021-22,Cristiano Ronaldo,25,1,5,0.8313000202178955,90,FW,Manchester United,Brighton,2,0,2022-02-15,2371,2021,0,1.1012099981307983,0,3,1,0.8313000202178955,1.2829899787902832,0.07068479806184769,16549
2021-22,Cristiano Ronaldo,25,0,2,0.5930140018463135,90,FW,Manchester United,Southampton,1,1,2022-02-12,2371,2021,0,0.5624859929084778,0,1,0,0.5930140018463135,0.6560350060462952,0.06302130222320557,16621
2021-22,Cristiano Ronaldo,24,0,3,0.23508000373840332,20,Sub,Burnley,Manchester United,1,1,2022-02-08,2371,2021,0,0.0,0,0,0,0.23508000373840332,0.21788500249385834,0.08776230365037918,16608
2021-22,Cristiano Ronaldo,23,0,3,0.1678670048713684,90,FW,Manchester United,West Ham,1,0,2022-01-22,2371,2021,0,0.10232900083065033,0,2,0,0.1678670048713684,1.3778799772262573,1.1521999835968018,16603
2021-22,Cristiano Ronaldo,22,0,3,0.186708003282547,73,FW,Brentford,Manchester United,1,3,2022-01-19,2371,2021,0,0.0,0,0,0,0.186708003282547,0.7773029804229736,0.6429719924926758,16537
2021-22,Cristiano Ronaldo,21,0,2,0.12367700040340424,90,FW,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,2371,2021,0,0.10514400154352188,0,1,0,0.12367700040340424,0.2558790147304535,0.13220199942588806,16583
2021-22,Cristiano Ronaldo,20,1,7,1.2795699834823608,90,FW,Manchester United,Burnley,3,1,2021-12-30,2371,2021,0,0.0939226970076561,1,2,1,1.2795699834823608,1.2108900547027588,0.0781152993440628,16574
2021-22,Cristiano Ronaldo,19,0,2,0.14840799570083618,90,FW,Newcastle United,Manchester United,1,1,2021-12-27,2371,2021,0,0.0,0,0,0,0.14840799570083618,0.661050021648407,0.661050021648407,16561
2021-22,Cristiano Ronaldo,16,1,3,1.6681300401687622,90,FW,Norwich,Manchester United,0,1,2021-12-11,2371,2021,0,0.0,0,0,0,0.9069589972496033,0.9787290096282959,0.07177039980888367,16535
2021-22,Cristiano Ronaldo,15,0,5,0.29820701479911804,90,FW,Manchester United,Crystal Palace,1,0,2021-12-05,2371,2021,0,0.02292739972472191,0,1,0,0.29820701479911804,0.32315000891685486,0.12846499681472778,16519
2021-22,Cristiano Ronaldo,14,2,6,1.4399800300598145,90,FW,Manchester United,Arsenal,3,2,2021-12-02,2371,2021,0,0.0,0,0,1,0.678816020488739,0.9016050100326538,0.222789004445076,16512
2021-22,Cristiano Ronaldo,13,0,0,0.0,26,Sub,Chelsea,Manchester United,1,1,2021-11-28,2371,2021,0,0.0,0,0,0,0.0,0.0,0.0,16500
2021-22,Cristiano Ronaldo,12,0,4,0.5507609844207764,90,FW,Watford,Manchester United,4,1,2021-11-20,2371,2021,0,0.7257590293884277,1,2,0,0.5507609844207764,1.5575499534606934,0.9554640054702759,16494
2021-22,Cristiano Ronaldo,11,0,1,0.07999280095100403,90,FW,Manchester United,Manchester City,0,2,2021-11-06,2371,2021,0,0.0,0,0,0,0.07999280095100403,0.07999280095100403,0.0,16483
2021-22,Cristiano Ronaldo,10,1,2,0.1314370036125183,72,FW,Tottenham,Manchester United,0,3,2021-10-30,2371,2021,0,0.5758349895477295,1,2,1,0.1314370036125183,0.7484089732170105,0.04113670065999031,16473
2021-22,Cristiano Ronaldo,9,0,4,0.41359901428222656,90,FW,Manchester United,Liverpool,0,5,2021-10-24,2371,2021,0,0.0,0,0,0,0.41359901428222656,0.5568370223045349,0.14323799312114716,16463
2021-22,Cristiano Ronaldo,8,0,3,0.22678999602794647,90,FW,Leicester,Manchester United,4,2,2021-10-16,2371,2021,0,0.04439320042729378,0,1,0,0.22678999602794647,0.4753299951553345,0.20414699614048004,16450
2021-22,Cristiano Ronaldo,7,0,1,0.11619199812412262,32,Sub,Manchester United,Everton,1,1,2021-10-02,2371,2021,0,0.05113640055060387,0,1,0,0.11619199812412262,0.16732800006866455,0.0,16442
2021-22,Cristiano Ronaldo,6,0,4,0.12487100064754486,90,FW,Manchester United,Aston Villa,0,1,2021-09-25,2371,2021,0,0.01872969977557659,0,1,0,0.12487100064754486,0.2528580129146576,0.16448600590229034,16431
2021-22,Cristiano Ronaldo,5,1,7,1.8956400156021118,90,FW,West Ham,Manchester United,1,2,2021-09-19,2371,2021,0,0.0,0,0,1,1.8956400156021118,1.9087300300598145,0.07766310125589371,16424
2021-22,Cristiano Ronaldo,4,2,6,1.4216099977493286,90,FW,Manchester United,Newcastle United,4,1,2021-09-11,2371,2021,0,0.021525699645280838,0,1,2,1.4216099977493286,1.4586600065231323,0.015525000169873238,16410
2021-22,Cristiano Ronaldo,2,0,1,0.20496900379657745,28,Sub,Udinese,Juventus,2,2,2021-08-22,2371,2021,0,0.03537699952721596,0,1,0,0.20496900379657745,0.05131009966135025,0.015933100134134293,16761
2021-22,Harry Kane,38,1,7,0.7067279815673828,90,FW,Norwich,Tottenham,0,5,2022-05-22,647,2021,0,0.7503219842910767,1,3,1,0.7067279815673828,2.1178300380706787,0.7883599996566772,16755
2021-22,Harry Kane,37,1,6,1.4175299406051636,90,FW,Tottenham,Burnley,1,0,2022-05-15,647,2021,0,0.0,0,0,0,0.6563559770584106,1.0656299591064453,0.4092719852924347,16739
2021-22,Harry Kane,36,2,9,1.882449984550476,90,FW,Tottenham,Arsenal,3,0,2022-05-12,647,2021,0,0.2959060072898865,0,1,1,1.1212799549102783,0.7533209919929504,0.0935622975230217,16593
2021-22,Harry Kane,36,0,1,0.053338099271059036,90,FW,Liverpool,Tottenham,1,1,2022-05-07,647,2021,0,0.06627249717712402,0,2,0,0.053338099271059036,0.803633987903595,0.6840230226516724,16728
2021-22,Harry Kane,35,1,4,0.8757100105285645,90,FW,Tottenham,Leicester,3,1,2022-05-01,647,2021,0,0.0,0,0,1,0.8757100105285645,0.6123470067977905,0.05411110073328018,16719
2021-22,Harry Kane,34,0,4,0.26075100898742676,90,FW,Brentford,Tottenham,0,0,2022-04-23,647,2021,0,0.0,0,0,0,0.26075100898742676,0.26075100898742676,0.0,16714
2021-22,Harry Kane,33,0,1,0.013279699720442295,90,FW,Tottenham,Brighton,0,1,2022-04-16,647,2021,0,0.47458499670028687,0,2,0,0.013279699720442295,0.4878639876842499,0.0,16699
2021-22,Harry Kane,32,0,2,0.159401997923851,90,FW,Aston Villa,Tottenham,0,4,2022-04-09,647,2021,0,0.5843530297279358,2,4,0,0.159401997923851,0.8653420209884644,0.12158799916505814,16694
2021-22,Harry Kane,31,0,5,0.35023000836372375,90,FW,Tottenham,Newcastle United,5,1,2022-04-03,647,2021,0,0.9750049710273743,1,3,0,0.35023000836372375,1.832360029220581,0.8258649706840515,16678
2021-22,Harry Kane,30,0,3,0.9783080220222473,90,FW,Tottenham,West Ham,3,1,2022-03-20,647,2021,0,0.6194199919700623,2,4,0,0.9783080220222473,1.597730040550232,0.44827699661254883,16673
2021-22,Harry Kane,29,1,6,0.9395359754562378,90,FW,Brighton,Tottenham,0,2,2022-03-16,647,2021,0,0.33361899852752686,0,3,1,0.9395359754562378,1.3551299571990967,0.16553199291229248,16528
2021-22,Harry Kane,29,1,2,0.7821289896965027,90,FW,Manchester United,Tottenham,3,2,2022-03-12,647,2021,0,0.0,0,0,0,0.02096020057797432,0.25218600034713745,0.23122499883174896,16663
2021-22,Harry Kane,28,2,4,0.9076169729232788,90,FW,Tottenham,Everton,5,0,2022-03-07,647,2021,0,0.5148509740829468,0,1,2,0.9076169729232788,1.7166600227355957,0.879056990146637,16653
2021-22,Harry Kane,27,1,2,0.3799799978733063,90,FW,Leeds,Tottenham,0,4,2022-02-26,647,2021,0,0.8800709843635559,1,4,1,0.3799799978733063,1.4172899723052979,0.6086350083351135,16642
2021-22,Harry Kane,26,0,3,0.09671120345592499,90,FW,Burnley,Tottenham,1,0,2022-02-23,647,2021,0,0.03930339962244034,0,1,0,0.09671120345592499,0.13843199610710144,0.07110320031642914,16499
2021-22,Harry Kane,26,2,3,1.5028200149536133,90,FW,Manchester City,Tottenham,2,3,2022-02-19,647,2021,0,0.14400699734687805,0,1,2,1.5028200149536133,1.9785699844360352,0.9166759848594666,16632
2021-22,Harry Kane,25,0,8,0.4170530140399933,90,FW,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,647,2021,0,0.0,0,0,0,0.4170530140399933,0.4362030029296875,0.08321110159158707,16624
2021-22,Harry Kane,24,0,2,0.621487021446228,90,FW,Tottenham,Southampton,2,3,2022-02-09,647,2021,0,0.40907201170921326,0,1,0,0.621487021446228,1.6047199964523315,0.5896279811859131,16613
2021-22,Harry Kane,23,0,1,0.0471763014793396,90,FW,Chelsea,Tottenham,2,0,2022-01-23,647,2021,0,0.09109610319137573,0,2,0,0.0471763014793396,0.09109610319137573,0.0,16598
2021-22,Harry Kane,22,1,10,1.4390699863433838,90,FW,Leicester,Tottenham,2,3,2022-01-19,647,2021,0,0.48840200901031494,1,2,1,1.4390699863433838,1.8820099830627441,0.16187499463558197,16540
2021-22,Harry Kane,21,0,6,0.26324400305747986,90,FW,Watford,Tottenham,0,1,2022-01-01,647,2021,0,0.01763099990785122,0,1,0,0.26324400305747986,0.5141270160675049,0.2962000072002411,16585
2021-22,Harry Kane,20,1,4,1.246269941329956,90,FW,Southampton,Tottenham,1,1,2021-12-28,647,2021,0,0.09891299903392792,0,2,0,0.4851030111312866,0.6705639958381653,0.13725599646568298,16575
2021-22,Harry Kane,19,1,2,0.48672300577163696,66,FW,Tottenham,Crystal Palace,3,0,2021-12-26,647,2021,0,0.0,0,0,1,0.48672300577163696,1.4390599727630615,1.010990023612976,16563
2021-22,Harry Kane,18,1,6,1.3419699668884277,90,FW,Tottenham,Liverpool,2,2,2021-12-19,647,2021,0,0.5885199904441833,0,1,1,1.3419699668884277,1.4458400011062622,0.0,16552
2021-22,Harry Kane,15,0,5,0.36612701416015625,90,FW,Tottenham,Norwich,3,0,2021-12-05,647,2021,0,0.0,0,0,0,0.36612701416015625,0.2446579933166504,0.0,16522
2021-22,Harry Kane,14,0,2,0.37617599964141846,90,FW,Tottenham,Brentford,2,0,2021-12-02,647,2021,0,0.6130059957504272,0,3,0,0.37617599964141846,1.780769944190979,0.8524100184440613,16515
2021-22,Harry Kane,12,0,4,0.6406409740447998,90,FW,Tottenham,Leeds,2,1,2021-11-21,647,2021,0,0.0,0,0,0,0.6406409740447998,0.6406409740447998,0.0,16493
2021-22,Harry Kane,11,0,2,0.11167900264263153,90,FW,Everton,Tottenham,0,0,2021-11-07,647,2021,0,0.3463999927043915,0,1,0,0.11167900264263153,0.5811830163002014,0.1231049969792366,16481
